x,y,y_train,y_test
-5.12,2018.9247,2014.2699,2016.1276
-5.0685425,2016.6033,2015.1631,2019.9387
-5.017085,2015.2288,2013.422,2013.4004
-4.965628,2014.8898,2017.182,2013.8785
-4.9141707,2015.5682,2018.8671,2015.6428
-4.8627133,2017.1414,2018.11,2020.3505
-4.8112564,2019.3937,2019.8053,2017.0603
-4.759799,2022.0404,2017.3116,2016.8811
-4.7083416,2024.7561,2026.2736,2025.6084
-4.656884,2027.2091,2026.9888,2024.441
-4.605427,2029.0951,2030.8099,2028.0111
-4.55397,2030.1692,2034.8545,2030.6881
-4.5025125,2030.2714,2030.7048,2030.0793
-4.451055,2029.3428,2028.0042,2027.0437
-4.399598,2027.4318,2026.6887,2029.2772
-4.3481407,2024.6893,2024.9108,2023.6869
-4.2966833,2021.3528,2021.7606,2021.2515
-4.245226,2017.722,2020.536,2016.8397
-4.1937685,2014.1276,2013.7205,2011.7544
-4.1423116,2010.8971,2013.9874,2012.4233
-4.090854,2008.3207,2006.5873,2006.8124
-4.039397,2006.6216,2003.3427,2010.0106
-3.9879396,2005.9324,2004.2393,2005.7339
-3.9364824,2006.2817,2005.5874,2001.9758
-3.885025,2007.5913,2007.4607,2007.699
-3.8335676,2009.6835,2008.1239,2008.3607
-3.7821105,2012.3004,2008.625,2013.195
-3.7306533,2015.1304,2014.7667,2012.5841
-3.679196,2017.84,2014.0942,2015.8658
-3.6277385,2020.1089,2017.6923,2017.8062
-3.5762813,2021.663,2024.348,2022.1923
-3.5248241,2022.303,2020.8252,2023.5332
-3.4733667,2021.9246,2022.9172,2021.4434
-3.4219093,2020.5297,2021.1691,2018.9094
-3.3704522,2018.2261,2019.7152,2019.3457
-3.318995,2015.2163,2015.4181,2013.0381
-3.2675376,2011.7765,2010.8834,2013.1222
-3.2160802,2008.228,2003.3628,2011.8422
-3.164623,2004.904,2005.4657,2003.4927
-3.1131659,2002.115,2004.642,2000.485
-3.0617085,2000.1163,1998.3527,2000.265
-3.010251,1999.0824,2001.1233,2000.8016
-2.9587939,1999.0878,1995.5782,1998.4211
-2.9073367,2000.1002,2000.2666,2000.2195
-2.8558793,2001.9834,2002.0874,2002.0139
-2.804422,2004.5116,2001.6123,2002.8396
-2.7529647,2007.3926,2007.513,2006.8502
-2.7015076,2010.2981,2008.4314,2008.5242
-2.6500502,2012.8981,2012.3168,2013.0197
-2.5985928,2014.8945,2013.9688,2011.7754
-2.5471356,2016.0525,2016.6954,2016.1636
-2.4956784,2016.2247,2015.6368,2016.112
-2.444221,2015.3663,2016.5457,2014.0635
-2.3927636,2013.5399,2015.2527,2011.9756
-2.3413064,2010.909,2011.1952,2014.792
-2.2898493,2007.7212,2006.1816,2009.4584
-2.2383919,2004.2817,2006.7097,2007.4613
-2.1869345,2000.9231,1999.779,1995.8722
-2.1354773,1997.9697,2000.6094,1997.3613
-2.0840201,1995.7046,1997.2356,1994.7346
-2.0325627,1994.3398,1997.6808,1993.1965
-1.9811054,1993.9951,1996.9757,1993.305
-1.9296482,1994.6847,1993.4261,1994.111
-1.8781909,1996.3162,1998.3999,1998.4495
-1.8267336,1998.7003,1997.2682,1995.7118
-1.7752763,2001.5701,2003.5505,2001.3926
-1.723819,2004.6091,2008.3956,2005.4755
-1.6723617,2007.4838,2006.2374,2003.716
-1.6209044,2009.878,2007.813,2008.9067
-1.5694472,2011.5261,2012.1042,2009.057
-1.5179899,2012.2405,2009.3337,2015.1223
-1.4665326,2011.9304,2008.0663,2014.5166
-1.4150753,2010.6123,2012.0469,2011.1298
-1.363618,2008.4072,2009.6022,2008.6525
-1.3121607,2005.5289,2005.9031,2003.5063
-1.2607034,2002.2614,2003.9214,2002.8741
-1.2092462,1998.9296,2002.8958,2003.2104
-1.1577889,1995.8655,1996.4857,1994.8425
-1.1063316,1993.374,1991.0162,1991.7493
-1.0548743,1991.7013,1994.0903,1994.0262
-1.003417,1991.0092,1991.9669,1990.0955
-0.9519597,1991.3583,1990.5397,1990.4711
-0.90050244,1992.7023,1993.3337,1990.9791
-0.84904516,1994.8917,1994.1848,1995.7512
-0.7975879,1997.6904,1998.3079,1998.0887
-0.7461306,2000.7998,2003.9169,1999.1874
-0.6946733,2003.8893,2002.092,1998.3029
-0.643216,2006.631,2005.7686,2002.334
-0.5917587,2008.7338,2009.3333,2008.4365
-0.54030144,2009.973,2009.037,2009.303
-0.48884416,2010.2144,2009.4921,2011.7367
-0.43738687,2009.4274,2008.3928,2010.0872
-0.38592958,2007.6886,2008.1556,2005.9684
-0.3344723,2005.1737,2004.432,2003.0186
-0.283015,2002.1396,2000.8365,1999.568
-0.23155773,1998.8975,2004.721,1998.5747
-0.18010044,1995.7804,1993.7369,1996.4545
-0.12864316,1993.1091,1992.2803,1994.845
-0.07718587,1991.159,1990.2941,1992.6609
-0.025728583,1990.1311,1988.8811,1989.2843
0.025728583,1990.1311,1993.6505,1987.3989
0.07718587,1991.159,1990.9337,1988.0106
0.12864316,1993.1091,1992.4916,1993.1946
0.18010044,1995.7804,1992.5126,1993.6863
0.23155773,1998.8975,1996.7767,1995.4143
0.283015,2002.1396,2004.2743,2000.8434
0.3344723,2005.1737,2006.063,2004.3412
0.38592958,2007.6886,2011.6395,2007.6377
0.43738687,2009.4274,2013.5282,2008.2544
0.48884416,2010.2144,2008.3534,2010.3795
0.54030144,2009.973,2010.1649,2007.9926
0.5917587,2008.7338,2008.4158,2009.1703
0.643216,2006.631,2006.3105,2008.3947
0.6946733,2003.8893,2003.1658,2003.5277
0.7461306,2000.7998,2001.0533,2004.6995
0.7975879,1997.6904,1995.5487,1998.3518
0.84904516,1994.8917,1993.4713,1993.5259
0.90050244,1992.7023,1993.465,1992.2988
0.9519597,1991.3583,1990.9243,1991.343
1.003417,1991.0092,1989.3735,1994.1863
1.0548743,1991.7013,1990.9827,1989.5999
1.1063316,1993.374,1994.6766,1992.7272
1.1577889,1995.8655,1996.1805,1997.0713
1.2092462,1998.9296,1999.649,1998.303
1.2607034,2002.2614,1997.0782,2003.8387
1.3121607,2005.5289,2004.2911,2005.7949
1.363618,2008.4072,2011.3429,2008.4766
1.4150753,2010.6123,2009.6903,2010.9481
1.4665326,2011.9304,2013.6786,2011.3499
