x,y,y_train,y_test
-0.495,57.7525,56.349934,57.619366
-0.49,56.261204,56.65579,57.02353
-0.485,54.797108,55.982502,52.325294
-0.48,53.3599,51.72671,53.08415
-0.475,51.949314,51.680256,50.720592
-0.47,50.56504,51.065823,46.15054
-0.465,49.20678,53.3494,47.41241
-0.46,47.87425,45.63996,48.236782
-0.455,46.567154,47.184425,46.744713
-0.45,45.285206,41.702053,46.08818
-0.445,44.028122,42.91705,43.69634
-0.44,42.795612,41.29477,45.094856
-0.435,41.5874,40.721767,43.41515
-0.43,40.403187,37.004967,41.027374
-0.425,39.2427,41.872826,35.605034
-0.42000002,38.105667,34.785007,35.77307
-0.415,36.9918,37.200264,35.478424
-0.41,35.900814,38.850796,32.790527
-0.405,34.83246,31.434849,37.754494
-0.4,33.78644,30.52077,31.283525
-0.395,32.7625,33.896965,32.791927
-0.39000002,31.760357,30.650917,33.671257
-0.385,30.779743,33.959427,30.5508
-0.38,29.820389,31.949732,29.584808
-0.375,28.882038,30.277077,28.476604
-0.37,27.964415,32.202984,25.204802
-0.365,27.067263,26.995893,27.56241
-0.36,26.19032,28.424755,26.343727
-0.355,25.333317,22.463737,24.40602
-0.35,24.496004,25.471977,22.004904
-0.345,23.678125,23.122711,24.560085
-0.34,22.87942,22.922092,27.111334
-0.335,22.09964,18.606754,21.767939
-0.33,21.33852,21.473988,23.031767
-0.32500002,20.595823,19.064695,18.111643
-0.32,19.871288,19.51869,23.033752
-0.315,19.164677,18.44081,22.375729
-0.31,18.475735,19.519863,19.03164
-0.305,17.804222,16.693502,18.367224
-0.3,17.14989,16.111296,15.757312
-0.29500002,16.5125,18.091621,14.258899
-0.29,15.89181,17.924406,14.756352
-0.285,15.287579,17.442854,14.397099
-0.28,14.699576,15.074295,15.053764
-0.275,14.127556,13.049331,14.877679
-0.27,13.57129,13.107537,13.025096
-0.26500002,13.030541,11.350363,10.49439
-0.26,12.505079,12.86822,9.255396
-0.255,11.994677,8.207951,15.562943
-0.25,11.4991,11.007579,11.434377
-0.245,11.018125,8.098263,13.120831
-0.24000001,10.551526,12.734451,12.095308
-0.235,10.099077,9.902509,9.575307
-0.23,9.660555,13.571091,8.756405
-0.22500001,9.235742,11.374433,7.2943153
-0.22,8.824413,11.607623,6.03319
-0.215,8.426357,9.361672,9.9817
-0.21000001,8.041351,8.612333,6.951146
-0.20500001,7.669182,10.543507,7.9437284
-0.2,7.309635,5.5717707,7.9600644
-0.19500001,6.9625006,7.2096972,7.6000943
-0.19000001,6.627566,7.361445,6.4451294
-0.185,6.304621,4.4706373,6.586759
-0.18,5.99346,6.1965938,4.110317
-0.17500001,5.6938767,7.602433,5.375573
-0.17,5.405664,4.286281,8.519886
-0.165,5.128621,6.755821,3.6153188
-0.16000001,4.8625455,4.2900977,3.1076818
-0.155,4.607236,-0.17011023,5.677582
-0.15,4.362495,4.5721855,4.070724
-0.14500001,4.1281257,1.2240803,3.301279
-0.14000002,3.9039304,2.990676,2.3873968
-0.135,3.6897163,2.3158317,6.235545
-0.13000001,3.4852903,3.3350012,3.715131
-0.12500001,3.2904615,3.0316224,0.7124212
-0.120000005,3.1050391,0.72310543,-0.5530479
-0.11500001,2.9288363,7.4073377,4.5958414
-0.11000001,2.7616653,3.0042958,2.7433724
-0.10500001,2.6033413,5.534981,4.5862937
-0.10000001,2.4536803,2.6417172,2.3599749
-0.095000006,2.3125,0.4125669,0.13305926
-0.09000001,2.1796203,1.2389146,-0.91680694
-0.08500001,2.0548613,-1.2238932,4.0510206
-0.08000001,1.9380454,1.4205056,-2.5109892
-0.07500001,1.8289963,-0.102207184,5.915933
-0.07000001,1.7275393,1.7836151,2.1391814
-0.06500001,1.6335013,-3.6774685,-0.26012886
-0.06000001,1.5467103,1.280266,0.3588177
-0.05500001,1.4669962,-1.785816,2.8083754
-0.050000012,1.3941904,1.2695516,-2.5964756
-0.04500001,1.328125,-1.9480002,2.2850642
-0.04000001,1.268635,1.7878366,-0.4241295
-0.03500001,1.215556,1.9459524,4.0929036
-0.03000001,1.168725,1.9776877,2.5208275
-0.02500001,1.1279811,0.064437985,0.3245046
-0.02000001,1.0931641,0.33389586,1.2516605
-0.015000011,1.064116,2.4981673,1.1233613
-0.010000011,1.04068,2.3366523,2.1983843
-0.005000011,1.022701,-1.5469749,0.21497637
1.1175871e-08,1.0100251,-0.45311224,-1.8614491
0.005000011,1.0025,1.0898786,-2.840576
0.010000011,0.9999751,1.2863733,-0.94620514
0.015000011,1.0023011,2.4340315,-0.026563406
0.02000001,1.0093302,-0.57248235,1.6682003
0.02500001,1.0209161,4.4469547,0.14187038
0.03000001,1.0369141,2.7430663,2.4061975
0.03500001,1.057181,0.06798619,0.2721402
0.04000001,1.081575,-1.4197811,-0.23128343
0.04500001,1.109956,3.4361832,0.7120781
0.050000012,1.1421852,0.14264011,0.6356906
0.05500001,1.1781251,-0.27676892,2.4804506
0.06000001,1.2176402,3.1246214,-0.14248979
0.06500001,1.2605962,1.9103777,2.5205126
0.07000001,1.3068602,-2.3857572,0.7026176
0.07500001,1.3563011,-0.09148514,1.0751758
0.08000001,1.4087892,2.3363824,-2.691543
0.08500001,1.464196,3.4207869,-0.45538592
0.09000001,1.5223951,2.0182796,-0.14497733
0.095000006,1.583261,3.2338414,2.694436
0.10000001,1.6466701,5.396367,3.658354
0.10500001,1.7125002,2.8082528,2.0479653
0.11000001,1.7806301,2.0290425,1.6529177
0.11500001,1.8509411,5.700641,-1.7649127
0.120000005,1.923315,2.9994485,3.7096891
0.12500001,1.9976364,2.3559146,2.0040028
0.13000001,2.0737891,1.1685283,1.2125883
0.135,2.1516612,3.3467305,2.3828938
0.14000002,2.2311404,5.850996,4.214506
0.14500001,2.3121161,0.6485834,2.5111485
0.15,2.3944802,3.1611414,2.720685
0.155,2.4781249,5.691865,4.1943684
0.16000001,2.5629451,3.632433,1.2559956
0.165,2.6488361,5.924282,3.72991
0.17,2.735695,4.724859,3.8983154
0.17500001,2.8234215,1.3109357,2.229335
0.18,2.911914,3.8721168,2.4898357
0.185,3.0010762,2.554299,4.142532
0.19000001,3.0908103,4.398917,4.2538905
0.19500001,3.1810215,1.9160138,-0.5948942
0.2,3.271615,3.0418193,3.1134892
0.20500001,3.3625004,5.2748146,4.0508966
0.21000001,3.4535854,4.076886,1.8576322
0.215,3.544781,4.6276627,3.4919264
0.22,3.6360002,2.3974519,5.967355
0.22500001,3.7271562,2.0040135,3.1418247
0.23,3.8181639,2.2779188,1.7083218
0.235,3.908941,0.40162063,3.7032616
0.24000001,3.9994054,0.7545068,4.635329
0.245,4.0894756,4.500452,6.90145
0.25,4.179075,6.087794,2.8454075
0.255,4.2681246,3.5893312,2.859774
0.26,4.3565497,6.3895884,5.4300003
0.26500002,4.444277,3.1143327,4.931867
0.27,4.531231,2.6760874,4.483732
0.275,4.6173415,4.5440645,9.903174
0.28,4.702539,3.5101838,7.3865004
0.285,4.786756,3.598763,3.9037836
0.29,4.8699245,4.556385,3.4743981
0.29500002,4.9519815,3.5462685,4.1184683
0.3,5.03286,7.713346,3.5994582
0.305,5.1124997,5.0775313,3.1607528
0.31,5.1908402,4.596057,8.619672
0.315,5.267821,5.244142,3.8733163
0.32,5.3433847,6.1090913,5.167469
0.32500002,5.417476,5.08749,4.609121
0.33,5.4900393,3.9832702,4.868184
0.335,5.561021,2.335008,6.501312
0.34,5.6303706,2.959948,5.0128555
0.345,5.6980352,4.5243855,6.645691
0.35,5.7639704,5.126083,2.8483353
0.355,5.8281245,3.8659031,6.1762047
0.36,5.890456,3.1818595,4.7467175
0.365,5.9509163,4.29648,7.140368
0.37,6.009465,8.719533,9.589561
0.375,6.0660605,4.9751067,6.330095
0.38,6.1206636,6.7937245,4.010698
0.385,6.1732354,2.5020573,11.073742
0.39000002,6.223741,4.3439894,7.9811854
0.395,6.272141,7.676341,0.62952566
0.4,6.3184047,5.722502,3.2757673
0.405,6.3624997,7.557443,5.853155
0.41,6.404395,9.200383,6.412639
0.415,6.444061,7.6956086,4.7416415
0.42000002,6.481471,5.1746306,3.726316
0.425,6.5165954,6.400017,2.6568317
0.43,6.549414,6.4955163,5.081254
0.435,6.5799017,5.6822023,6.922347
0.44,6.608034,4.3964043,5.9485755
0.445,6.6337957,9.246955,6.521935
0.45,6.657165,3.4089465,5.4999914
0.455,6.6781263,5.550188,8.019572
0.46,6.696659,8.521801,6.5912333
0.465,6.712756,7.371342,6.972911
0.47,6.7264004,5.858833,6.3241405
0.475,6.737581,4.728163,8.603003
0.48,6.746288,7.9646945,4.374483
0.485,6.7525167,7.755295,7.087469
0.49,6.756254,5.799392,2.9978657
0.495,6.7575,4.734626,6.927687
0.5,6.7562494,4.076739,9.119856
